Make,Car_ID,OverallScore
Jeep,124,124
Make,Car_ID,OverallScore
Lexus,212,6
Lexus,190,10
Lexus,222,40
Make,Car_ID,OverallScore
Honda,101,0
Honda,70,0
Honda,72,4
Make,Car_ID,OverallScore
Ford,167,20
Ford,219,26
Ford,120,30
Make,Car_ID,OverallScore
Hyundai,159,14
Hyundai,92,30
Hyundai,38,62
Make,Car_ID,OverallScore
Infiniti,95,12
Infiniti,20,38
Infiniti,122,44
Make,Car_ID,OverallScore
Subaru,1,6
Subaru,75,6
Subaru,40,6
Make,Car_ID,OverallScore
Volkswagen,66,4
Volkswagen,184,8
Volkswagen,185,8
Make,Car_ID,OverallScore
Chevy,0,0
Chevy,170,50
Chevy,218,64
Make,Car_ID,OverallScore
Chrystler,216,96
Make,Car_ID,OverallScore
Mitsu,163,22
Mitsu,176,40
Mitsu,19,40
Make,Car_ID,OverallScore
Mercedes,98,26
Mercedes,17,34
Mercedes,84,70
Make,Car_ID,OverallScore
Audi,197,2
Audi,108,14
Audi,220,14
Make,Car_ID,OverallScore
Lexus,212,6
Lexus,190,10
Lexus,222,40
Make,Car_ID,OverallScore
Toyota,243,10
Toyota,241,24
Toyota,189,50
Car_Scores    Cars_Details  Judges      
Car_Scores    Cars_Details  Judges      
Car_Scores    Cars_Details  Judges      
